Pairwise comparison,Experiment,Study,Species A,Species B,Species pair,AinA mean,AinA_mean_reestimate,AinA se,AinA_se_reestimate,AinA N,AinB mean,AinB_mean_reestimate,AinB se,AinB N,AinB_se_reestimate,BinB mean,BinB_mean_reestimate,BinB se,BinB N,BinB_se_reestimate,BinA mean,BinA_mean_reestimate,BinA se,BinA N,BinA_se_reestimate
127,20,38,prestoea_decurrens,virola_koschnyi,prestoea_decurrens_virola_koschnyi,69.35,68.9189189189189,3.598950499,6.7567567567568,30,76.52080792,76.6829457794551,3.464801447,30,6.47788445529716,630.1138383,643.835616438357,37.75147902,30,54.7945205479454,774.0575364,794.520547945206,37.76864738,30,68.493150684932
128,21,38,apeiba_membranacea,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,11.23,,1.208119275,,16,11.73049123,,1.34748394,16,,33.81,,2.477205041,16,,35.12553659,,2.710216373,16,
129,21,38,apeiba_membranacea,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,11.23,,1.208119275,,16,11.01312738,,1.215266989,16,,184.7450916,,94.25769978,16,,171.4837989,,87.49173414,16,
130,21,38,apeiba_membranacea,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,11.23,,1.208119275,,16,11.51590205,,1.242729742,16,,2468.238512,,207.0507694,16,,2481.976952,,194.9582463,16,
131,21,38,apeiba_membranacea,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,11.23,,1.208119275,,16,13.05530634,,1.399931383,16,,59.67,,5.567344743,16,,81.14931524,,4.896551447,16,
132,21,38,apeiba_membranacea,virola_koschnyi,apeiba_membranacea_virola_koschnyi,11.23,,1.208119275,,16,11.60382072,,1.360356781,16,,704.7796991,,47.53020749,16,,964.9030084,,50.45800328,16,
133,21,38,colubrina_spinosa,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,33.81,,2.477205041,,16,20.07315594,,1.803876415,16,,184.7450916,,94.25769978,16,,0.001,,0,16,
134,21,38,colubrina_spinosa,pentaclethra_macroloba,colubrina_spinosa_pentaclethra_macroloba,33.81,,2.477205041,,16,33.36367338,,2.763922454,16,,2468.238512,,207.0507694,16,,2203.645576,,178.5124479,16,
135,21,38,colubrina_spinosa,prestoea_decurrens,colubrina_spinosa_prestoea_decurrens,33.81,,2.477205041,,16,34.80186546,,2.631528805,16,,59.67,,5.567344743,16,,74.51205995,,4.894602252,16,
136,21,38,colubrina_spinosa,virola_koschnyi,colubrina_spinosa_virola_koschnyi,33.81,,2.477205041,,16,32.01625447,,2.400040749,16,,704.7796991,,47.53020749,16,,913.9712866,,48.58987216,16,
137,21,38,iriartea_deltoidea,pentaclethra_macroloba,iriartea_deltoidea_pentaclethra_macroloba,184.7450916,,94.25769978,,16,263.1323698,,134.2512091,16,,2468.238512,,207.0507694,16,,2235.033015,,175.2525445,16,
138,21,38,iriartea_deltoidea,prestoea_decurrens,iriartea_deltoidea_prestoea_decurrens,184.7450916,,94.25769978,,16,215.0069681,,109.6974327,16,,59.67,,5.567344743,16,,87.44851106,,4.394675945,16,
139,21,38,iriartea_deltoidea,virola_koschnyi,iriartea_deltoidea_virola_koschnyi,184.7450916,,94.25769978,,16,176.6832596,,90.14452023,16,,704.7796991,,47.53020749,16,,932.1311359,,45.94034477,16,
140,21,38,pentaclethra_macroloba,prestoea_decurrens,pentaclethra_macroloba_prestoea_decurrens,2468.238512,,207.0507694,,16,2301.169635,,192.9656329,16,,59.67,,5.567344743,16,,74.71521938,,4.542407022,16,
141,21,38,pentaclethra_macroloba,virola_koschnyi,pentaclethra_macroloba_virola_koschnyi,2468.238512,,207.0507694,,16,2555.396234,,200.2132056,16,,704.7796991,,47.53020749,16,,854.7186966,,48.29217485,16,
142,21,38,prestoea_decurrens,virola_koschnyi,prestoea_decurrens_virola_koschnyi,59.67,,5.567344743,,16,81.64275532,,4.541697294,16,,704.7796991,,47.53020749,16,,884.1986512,,47.92821683,16,
143,22,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,1.5,,0.11,,5,1.66,,0.13,5,,1.32,,0.21,5,,1.35,,0.17,5,
144,22,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,3.49,,0.97,,5,3.24,,0.21,5,,2.41,,0.18,5,,3.18,,0.66,5,
145,22,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,1.27,,0.13,,5,0.94,,0.1,5,,0.86,,0.09,5,,1.16,,0.06,5,
146,23,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,4.26,,0.99,,5,5.66,,0.63,5,,2.9,,0.33,5,,4.7,,1.34,5,
147,23,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,8.3,,0.93,,5,8.51,,1,5,,8.84,,0.48,5,,9.65,,0.44,5,
148,23,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,4.4,,0.5,,5,3.87,,0.41,5,,5.38,,0.59,5,,4.84,,0.56,5,
149,24,39,eragrostis_pilosa,poa_annua,eragrostis_pilosa_poa_annua,1.85,,0.18,,5,2.13,,0.1,5,,2.71,,0.4,5,,3.22,,0.27,5,
150,24,39,heracleum_mantegazzianum,heracleum_sphondylium,heracleum_mantegazzianum_heracleum_sphondylium,5.41,,0.2,,5,5.2,,0.21,5,,3.67,,0.34,5,,4.18,,0.3,5,
151,24,39,tragopogon_dubius,tragopogon_pratensis,tragopogon_dubius_tragopogon_pratensis,2.53,,0.33,,5,1.68,,0.08,5,,1.75,,0.13,5,,2.42,,0.14,5,
152,25,40,solidago_canadensis,kummerowia_striata,kummerowia_striata_solidago_canadensis,13.076,,1.137,,4,11.726,,0.284,4,,14.569,,0.924,4,,9.807,,0.426,4,
153,25,40,solidago_canadensis,kummerowia_striata,kummerowia_striata_solidago_canadensis,7.391,,0.362,,4,4.904,,0.284,4,,8.812,,0.355,4,,5.614,,0.142,4,
154,27,41,acer_rubrum,fraxinus_americana,acer_rubrum_fraxinus_americana,12.33,,0.074879906,,60,12.75597769,,0.065996555,30,,84.52,,0.667105435,60,,74.81,,0.580814378,30,
155,27,41,acer_rubrum,quercus_rubra,acer_rubrum_quercus_rubra,12.33,,0.074879906,,60,14.52686945,,0.081688397,30,,77.25,,0.671248483,60,,1035.873178,,2.761310007,30,
156,27,41,acer_saccharum,acer_rubrum,acer_rubrum_acer_saccharum,85.2,,0.44,,60,89.66,,0.52,60,,12.33,,0.074879906,60,,14.3,,0.081917218,60,
157,27,41,acer_saccharum,fraxinus_americana,acer_saccharum_fraxinus_americana,85.2,,0.44,,60,103.54,,0.76,60,,84.52,,0.667105435,60,,75.72,,0.6506176,60,
158,27,41,acer_saccharum,quercus_rubra,acer_saccharum_quercus_rubra,85.2,,0.44,,60,94.54,,0.49,60,,1035.87,,2.761310007,60,,1088.98,,2.559305924,60,
159,27,41,fraxinus_americana,quercus_rubra,fraxinus_americana_quercus_rubra,84.52,,0.667105435,,60,77.25,,0.671248483,30,,1173.8,,2.959801133,60,,1055.742933,,2.89194348,30,
160,28,41,acer_rubrum,fraxinus_americana,acer_rubrum_fraxinus_americana,341.38,,3.17330864,,30,353.19,,3.515349357,15,,1113.206646,,13.98531159,30,,985.35,,14.88762192,15,
161,28,41,acer_rubrum,quercus_rubra,acer_rubrum_quercus_rubra,341.38,,3.17330864,,30,402.22,,4.353620775,15,,1017.39427,,16.47280847,30,,3111.935006,,12.05018645,15,
162,28,41,acer_saccharum,acer_rubrum,acer_rubrum_acer_saccharum,870.44,,8.56,,30,744.71,,15.24900261,15,,341.38,,163.19,30,,395.84,,4.111124377,15,
163,28,41,acer_saccharum,fraxinus_americana,acer_saccharum_fraxinus_americana,870.44,,8.56,,30,604.86,,8.761322722,15,,1113.21,,13.98531159,30,,997.25,,16.01912377,15,
164,28,41,acer_saccharum,quercus_rubra,acer_saccharum_quercus_rubra,870.44,,8.56,,30,668.48,,10.61798221,15,,3522.76,,13.03519686,30,,3268.22,,13.27365479,15,
165,28,41,fraxinus_americana,quercus_rubra,fraxinus_americana_quercus_rubra,1113.21,,13.98531159,,60,1017.39427,,16.47280847,15,,3522.76,,13.03519686,60,,3168.457008,,15.45137066,15,
166,29,42,centaurea_diffusa,elymus_spicatus,centaurea_diffusa_elymus_spicatus,50,,5.83,,9,79.17,,8.5,9,,100,,9.17,9,,70.83,,8.5,9,
167,30,43,dactylis_glomerata,melilotus_neapolitanus,dactylis_glomerata_melilotus_neapolitanus,0.134248139,,0.033775633,,12,0.174079849,,0.012062726,12,,0.177071683,,0.027185148,12,,0.105443581,,0.027185937,12,
168,30,43,dactylis_glomerata,petrorhagia_dubia,dactylis_glomerata_petrorhagia_dubia,0.134248139,,0.033775633,,12,0.042624771,,0.011098493,12,,0.001,,0,12,,0.179173727,,0.039469658,12,
169,30,43,petrorhagia_dubia,melilotus_neapolitanus,melilotus_neapolitanus_petrorhagia_dubia,0.001,,0,,12,0.015784263,,0.0024083,12,,0.177071683,,0.027185148,12,,0.001,,0,12,
170,30,43,phleum_subulatum,dactylis_glomerata,dactylis_glomerata_phleum_subulatum,0.1693305,,0.027502989,,12,0.11164506,,0.040049791,12,,0.134248139,,0.033775633,12,,0.14288152,,0.030396501,12,
171,30,43,phleum_subulatum,melilotus_neapolitanus,melilotus_neapolitanus_phleum_subulatum,0.1693305,,0.027502989,,12,0.083285244,,0.019783246,12,,0.177071683,,0.027185148,12,,0.262183826,,0.049515157,12,
172,30,43,phleum_subulatum,petrorhagia_dubia,petrorhagia_dubia_phleum_subulatum,0.1693305,,0.027502989,,12,0.048167543,,0.014474467,12,,0.001,,0,12,,0.030873508,,0.007701549,12,
173,31,47,lespedeza_capitata,schizachyrium_scoparium,lespedeza_capitata_schizachyrium_scoparium,13.8,,0,,3,15,,0,3,,42.4,,0,3,,33.6,,0,3,
174,32,49,cerastium_alpinum,cerastium_glomeratum,cerastium_alpinum_cerastium_glomeratum,0.101,,0.03,,8,0.07,,0.025,8,,0.16,,0.05,8,,0.11,,0.05,8,
175,32,49,dianthus_armeria,dianthus_deltoides,dianthus_armeria_dianthus_deltoides,0.11,,0.04,,8,0.13,,0.04,8,,0.054,,0.026,8,,0.058,,0.028,8,
176,32,49,sisymbrium_erysimoides,sisymbrium_officinale,sisymbrium_erysimoides_sisymbrium_officinale,0.65,,0.04,,8,0.35,,0.07,8,,0.22,,0.078,8,,0.24,,0.06,8,
177,33,51,anthoxanthum_odoratum,festuca_rubra,anthoxanthum_odoratum_festuca_rubra,0.027,,0.003,,5,0.025,,0.002,5,,0.017,,0.004,5,,0.035,,0.004,5,
178,33,51,anthoxanthum_odoratum,leucanthemum_vulgare,anthoxanthum_odoratum_leucanthemum_vulgare,0.027,,0.003,,5,0.067,,0.005,5,,0.016,,0.0016,5,,0.048,,0.0051,5,
179,33,51,anthoxanthum_odoratum,plantago_lanceolata,anthoxanthum_odoratum_plantago_lanceolata,0.027,,0.003,,5,0.035,,0.003,5,,0.0153,,0.0017,5,,0.0716,,0.009,5,
180,33,51,leucanthemum_vulgare,festuca_rubra,festuca_rubra_leucanthemum_vulgare,0.016,,0.0016,,5,0.035,,0.003,5,,0.017,,0.004,5,,0.082,,0.0035,5,
181,33,51,plantago_lanceolata,festuca_rubra,festuca_rubra_plantago_lanceolata,0.015,,0.003,,5,0.051,,0.003,5,,0.017,,0.004,5,,0.045,,0.007,5,
182,33,51,plantago_lanceolata,leucanthemum_vulgare,leucanthemum_vulgare_plantago_lanceolata,0.015,,0.003,,5,0.096,,0.007,5,,0.016,,0.0016,5,,0.025,,0.0034,5,
183,34,52,artemisia_capillaris,artemisia_lavandulaefolia,artemisia_capillaris_artemisia_lavandulaefolia,6.85,,0.95,,6,6.22,,0.72,6,,10.73,,0.52,6,,11.21,,1.85,6,
184,34,52,artemisia_capillaris,cenchrus_flaccidus,artemisia_capillaris_cenchrus_flaccidus,6.85,,0.95,,6,3.38,,0.46,6,,6.41,,0.5,6,,6.53,,0.53,6,
185,34,52,artemisia_frigida,artemisia_capillaris,artemisia_capillaris_artemisia_frigida,2.29,,0.17,,6,4.47,,0.31,6,,6.85,,0.95,6,,2.52,,0.23,6,
186,34,52,artemisia_frigida,artemisia_lavandulaefolia,artemisia_frigida_artemisia_lavandulaefolia,2.29,,0.17,,6,2.8,,0.21,6,,10.73,,0.52,6,,4.78,,0.47,6,
187,34,52,artemisia_frigida,cenchrus_flaccidus,artemisia_frigida_cenchrus_flaccidus,2.29,,0.17,,6,2.52,,0.33,6,,6.41,,0.5,6,,5.18,,0.68,6,
188,34,52,artemisia_frigida,leymus_chinensis,artemisia_frigida_leymus_chinensis,2.29,,0.17,,6,3.92,,0.31,6,,3.52,,0.4,6,,4.37,,0.46,6,
189,34,52,artemisia_frigida,stipa_krylovii,artemisia_frigida_stipa_krylovii,2.29,,0.17,,6,2.72,,0.24,6,,2.22,,0.2,6,,1.55,,0.23,6,
190,34,52,artemisia_lavandulaefolia,cenchrus_flaccidus,artemisia_lavandulaefolia_cenchrus_flaccidus,10.73,,0.52,,6,9.31,,1.21,6,,6.41,,0.5,6,,6.94,,0.68,6,
191,34,52,leymus_chinensis,artemisia_capillaris,artemisia_capillaris_leymus_chinensis,3.52,,0.4,,6,5.09,,0.57,6,,6.85,,0.95,6,,6.73,,0.8,6,
192,34,52,leymus_chinensis,artemisia_lavandulaefolia,artemisia_lavandulaefolia_leymus_chinensis,3.52,,0.4,,6,6.94,,0.68,6,,10.73,,0.52,6,,10.09,,0.95,6,
193,34,52,leymus_chinensis,cenchrus_flaccidus,cenchrus_flaccidus_leymus_chinensis,3.52,,0.4,,6,3.37,,0.67,6,,6.41,,0.5,6,,5.62,,0.59,6,
194,34,52,leymus_chinensis,stipa_krylovii,leymus_chinensis_stipa_krylovii,3.52,,0.4,,6,4.49,,0.26,6,,2.22,,0.2,6,,1.62,,0.26,6,
195,34,52,stipa_krylovii,artemisia_capillaris,artemisia_capillaris_stipa_krylovii,2.22,,0.2,,6,3.55,,0.37,6,,6.85,,0.95,6,,3.61,,0.49,6,
196,34,52,stipa_krylovii,artemisia_lavandulaefolia,artemisia_lavandulaefolia_stipa_krylovii,2.22,,0.2,,6,2.45,,0.22,6,,10.73,,0.52,6,,5.73,,0.78,6,
197,34,52,stipa_krylovii,cenchrus_flaccidus,cenchrus_flaccidus_stipa_krylovii,2.22,,0.2,,6,1.43,,0.12,6,,6.41,,0.5,6,,5.38,,0.47,6,
198,35,53,luehea_seemannii,ochroma_pyramidale,luehea_seemannii_ochroma_pyramidale,97,,66,,5,79,,18,5,,319,,73,5,,177,,44,5,
199,36,53,licania_platypus,theobroma_cacao,licania_platypus_theobroma_cacao,240,,35,,6,207,,27,6,,584,,69,6,,521,,61,6,
200,36,53,luehea_seemannii,licania_platypus,licania_platypus_luehea_seemannii,26.5,,6.9,,6,47.7,,7.5,6,,240,,35,6,,332,,25,6,
201,36,53,luehea_seemannii,theobroma_cacao,luehea_seemannii_theobroma_cacao,26.5,,6.9,,6,18.1,,1.7,6,,584,,69,6,,446,,16,6,
202,37,67,dasiphora_fruticosa,potentilla_arguta,dasiphora_fruticosa_potentilla_arguta,1.725,,0.061,,6,1.664,,0.099,6,,1,,0.107,6,,1.061,,0.099,6,
203,37,67,dasiphora_fruticosa,potentilla_gracilis,dasiphora_fruticosa_potentilla_gracilis,1.725,,0.061,,6,1.534,,0.115,6,,1.237,,0.168,6,,1.733,,0.061,6,
204,37,67,potentilla_gracilis,potentilla_arguta,potentilla_arguta_potentilla_gracilis,1.237,,0.168,,6,1.237,,0.145,6,,1,,0.107,6,,0.824,,0.092,6,
205,37,67,potentilla_recta,potentilla_arguta,potentilla_arguta_potentilla_recta,0.985,,0.046,,6,1.321,,0.068,6,,1,,0.107,6,,0.939,,0.069,6,
206,37,67,potentilla_recta,dasiphora_fruticosa,dasiphora_fruticosa_potentilla_recta,0.985,,0.046,,6,1.031,,0.045,6,,1.725,,0.061,6,,1.527,,0.091,6,
207,37,67,potentilla_recta,potentilla_gracilis,potentilla_gracilis_potentilla_recta,0.985,,0.046,,6,0.962,,0.03,6,,1.237,,0.168,6,,0.863,,0.076,6,
208,38,71,festuca_rubra,plantago_lanceolata,festuca_rubra_plantago_lanceolata,2.211,,0.967,,8,2.349,,0.572,8,,55.607,,18.36,8,,58.23,,6.819,8,
209,39,71,festuca_rubra,plantago_lanceolata,festuca_rubra_plantago_lanceolata,0.868,,0.257,,8,2.408,,0.395,8,,37.77,,6.296,8,,61.377,,12.59,8,
210,40,72,bothriochloa_ischaemum,panicum_coloratum,bothriochloa_ischaemum_panicum_coloratum,4.228,,0.747,,7,3.176,,0.314,7,,3.421,,0.226,7,,4.208,,0.55,7,
211,40,72,bothriochloa_laguroides,bothriochloa_ischaemum,bothriochloa_ischaemum_bothriochloa_laguroides,3.11,,0.257,,7,5.509,,0.642,7,,4.228,,0.747,7,,3.156,,0.649,7,
212,40,72,bothriochloa_laguroides,panicum_coloratum,bothriochloa_laguroides_panicum_coloratum,3.11,,0.257,,7,3.86,,0.376,7,,3.421,,0.226,7,,3.097,,0.777,7,
213,40,72,bothriochloa_laguroides,panicum_virgatum,bothriochloa_laguroides_panicum_virgatum,3.11,,0.257,,7,4.7,,0.276,7,,1.501,,0.256,7,,2.903,,0.582,7,
214,40,72,panicum_virgatum,bothriochloa_ischaemum,bothriochloa_ischaemum_panicum_virgatum,1.501,,0.256,,7,4.028,,0.849,7,,4.228,,0.747,7,,3.677,,0.806,7,
215,40,72,panicum_virgatum,panicum_coloratum,panicum_coloratum_panicum_virgatum,1.501,,0.256,,7,2.656,,0.642,7,,3.421,,0.226,7,,4.434,,1.013,7,
216,41,75,agrostis_capillaris,festuca_ovina,agrostis_capillaris_festuca_ovina,0.011,,0.004,,8,0.039,,0.012,8,,0.009,,0.002,8,,0.018,,0.006,8,
217,41,75,agrostis_capillaris,nardus_stricta,agrostis_capillaris_nardus_stricta,0.011,,0.004,,8,0.093,,0.022,8,,0.089,,0.018,8,,0.023,,0.006,8,
218,41,75,festuca_ovina,nardus_stricta,festuca_ovina_nardus_stricta,0.009,,0.002,,8,0.075,,0.022,8,,0.089,,0.018,8,,0.016,,0.003,8,
219,41,75,lolium_perenne,agrostis_capillaris,agrostis_capillaris_lolium_perenne,0.057,,0.024,,8,0.088,,0.039,8,,0.011,,0.004,8,,0.074,,0.027,8,
220,41,75,lolium_perenne,festuca_ovina,festuca_ovina_lolium_perenne,0.057,,0.024,,8,0.018,,0.004,8,,0.009,,0.002,8,,0.03,,0.011,8,
221,41,75,lolium_perenne,nardus_stricta,lolium_perenne_nardus_stricta,0.057,,0.024,,8,0.185,,0.051,8,,0.089,,0.018,8,,0.042,,0.011,8,
222,42,77,arctium_tomentosum,trifolium_campestre,arctium_tomentosum_trifolium_campestre,0.11,,0.006708204,,5,0.159,,0.002683282,5,,0.504,,0.015652476,5,,0.479,,0.046063,5,
223,42,77,arrhenatherum_elatius,medicago_lupulina,arrhenatherum_elatius_medicago_lupulina,0.151,,0.029963311,,5,0.172,,0.046510214,5,,0.884,,0.059032195,5,,0.672,,0.230315002,5,
224,42,77,arrhenatherum_elatius,plantago_lanceolata,arrhenatherum_elatius_plantago_lanceolata,0.151,,0.029963311,,5,0.138,,0.025043961,5,,0.171,,0.016994117,5,,0.123,,0.017888544,5,
225,42,77,berteroa_incana,melilotus_albus,berteroa_incana_melilotus_albus,0.17,,0.03980201,,5,0.263,,0.060373835,5,,0.716,,0.092126001,5,,0.524,,0.045168573,5,
226,42,77,bromus_sterilis,arctium_tomentosum,arctium_tomentosum_bromus_sterilis,0.202,,0.003577709,,5,0.153,,0.018335757,5,,0.11,,0.006708204,5,,0.151,,0.008049845,5,
227,42,77,bromus_sterilis,trifolium_campestre,bromus_sterilis_trifolium_campestre,0.202,,0.003577709,,5,0.226,,0.024596748,5,,0.504,,0.015652476,5,,0.732,,0.04472136,5,
228,42,77,centaurea_jacea,trifolium_pratense,centaurea_jacea_trifolium_pratense,0.138,,0.019230185,,5,0.151,,0.016099689,5,,0.538,,0.036224301,5,,0.896,,0.043826932,5,
229,42,77,dactylis_glomerata,galium_mollugo,dactylis_glomerata_galium_mollugo,0.25,,0.015205262,,5,0.172,,0.019230185,5,,0.199,,0.020571825,5,,0.232,,0.016546903,5,
230,42,77,dactylis_glomerata,trifolium_repens,dactylis_glomerata_trifolium_repens,0.25,,0.015205262,,5,0.262,,0.056348913,5,,0.877,,0.140425069,5,,0.859,,0.080051234,5,
231,42,77,echinochloa_crus-galli,berteroa_incana,berteroa_incana_echinochloa_crus-galli,0.147,,0.046957428,,5,0.194,,0.051429563,5,,0.17,,0.03980201,5,,0.176,,0.011627553,5,
232,42,77,echinochloa_crus-galli,melilotus_albus,echinochloa_crus-galli_melilotus_albus,0.147,,0.046957428,,5,0.256,,0.046957428,5,,0.716,,0.092126001,5,,0.612,,0.042932505,5,
233,42,77,festuca_rubra,leucanthemum_vulgare,festuca_rubra_leucanthemum_vulgare,0.119,,0.03488266,,5,0.131,,0.00626099,5,,0.146,,0.005366563,5,,0.089,,0.007602631,5,
234,42,77,festuca_rubra,vicia_cracca,festuca_rubra_vicia_cracca,0.119,,0.03488266,,5,0.192,,0.015205262,5,,0.449,,0.084970583,5,,0.433,,0.067082039,5,
235,42,77,galium_mollugo,trifolium_repens,galium_mollugo_trifolium_repens,0.199,,0.020571825,,5,0.177,,0.032199379,5,,0.877,,0.140425069,5,,1.093,,0.096598137,5,
236,42,77,holcus_lanatus,centaurea_jacea,centaurea_jacea_holcus_lanatus,0.148,,0.009391486,,5,0.145,,0.017888544,5,,0.138,,0.019230185,5,,0.149,,0.014310835,5,
237,42,77,holcus_lanatus,trifolium_pratense,holcus_lanatus_trifolium_pratense,0.148,,0.009391486,,5,0.167,,0.008944272,5,,0.538,,0.036224301,5,,0.622,,0.067082039,5,
238,42,77,hordeum_murinum,tanacetum_vulgare,hordeum_murinum_tanacetum_vulgare,0.079,,0.014310835,,5,0.162,,0.018782971,5,,0.138,,0.038460369,5,,0.16,,0.029963311,5,
239,42,77,hordeum_murinum,vicia_villosa,hordeum_murinum_vicia_villosa,0.079,,0.014310835,,5,0.205,,0.016994117,5,,0.9,,0.156971972,5,,0.882,,0.088548292,5,
240,42,77,lepidium_campestre,trifolium_incarnatum,lepidium_campestre_trifolium_incarnatum,0.121,,0.038505091,,5,0.197,,0.026698652,5,,0.35,,0.15428869,5,,0.324,,0.052771204,5,
241,42,77,leucanthemum_vulgare,vicia_cracca,leucanthemum_vulgare_vicia_cracca,0.146,,0.005366563,,5,0.229,,0.057690554,5,,0.449,,0.084970583,5,,0.561,,0.059032195,5,
242,42,77,panicum_capillare,lepidium_campestre,lepidium_campestre_panicum_capillare,0.229,,0.095256496,,5,0.197,,0.022181794,5,,0.121,,0.038505091,5,,0.098,,0.051876777,5,
243,42,77,panicum_capillare,trifolium_incarnatum,panicum_capillare_trifolium_incarnatum,0.229,,0.095256496,,5,0.216,,0.042485292,5,,0.35,,0.15428869,5,,0.28,,0.069318107,5,
244,42,77,plantago_lanceolata,medicago_lupulina,medicago_lupulina_plantago_lanceolata,0.171,,0.016994117,,5,0.252,,0.016546903,5,,0.884,,0.059032195,5,,0.826,,0.104200768,5,
245,42,77,tanacetum_vulgare,vicia_villosa,tanacetum_vulgare_vicia_villosa,0.138,,0.038460369,,5,0.092,,0.037118728,5,,0.9,,0.156971972,5,,0.905,,0.139530642,5,
246,43,87,elymus_spicatus,centaurea_diffusa,centaurea_diffusa_elymus_spicatus,5.488,,0.465,,100,10.093,,0.93,100,,18.139,,1.443,100,,4.605,,0.698,100,
247,44,89,matricaria_chamomilla,papaver_dubium,matricaria_chamomilla_papaver_dubium,1.274,,0.218,,8,1.917,,0.224,8,,0.336,,0.134,8,,0.296,,0.087,8,
248,44,89,matricaria_chamomilla,senecio_vulgaris,matricaria_chamomilla_senecio_vulgaris,1.274,,0.218,,8,0.962,,0.283,8,,0.835,,0.118,8,,0.768,,0.193,8,
249,44,89,matricaria_chamomilla,solanum_americanum,matricaria_chamomilla_solanum_americanum,1.274,,0.218,,8,1.752,,0.448,8,,2.623,,0.468,8,,3.677,,0.398,8,
250,44,89,matricaria_chamomilla,sonchus_asper,matricaria_chamomilla_sonchus_asper,1.274,,0.218,,8,1.622,,0.36,8,,2.209,,0.393,8,,2.609,,0.319,8,
251,44,89,matricaria_chamomilla,tripleurospermum_inodorum,matricaria_chamomilla_tripleurospermum_inodorum,1.274,,0.218,,8,1.593,,0.413,8,,0.591,,0.269,8,,0.384,,0.128,8,
252,44,89,matricaria_chamomilla,viola_arvensis,matricaria_chamomilla_viola_arvensis,1.274,,0.218,,8,1.782,,0.206,8,,0.943,,0.261,8,,1.065,,0.198,8,
253,44,89,matricaria_matricarioides,matricaria_chamomilla,matricaria_chamomilla_matricaria_matricarioides,0.973,,0.456,,8,0.56,,0.178,8,,1.274,,0.218,8,,1.664,,0.419,8,
254,44,89,matricaria_matricarioides,papaver_dubium,matricaria_matricarioides_papaver_dubium,0.973,,0.456,,8,0.39,,0.131,8,,0.336,,0.134,8,,0.447,,0.3,8,
255,44,89,matricaria_matricarioides,senecio_vulgaris,matricaria_matricarioides_senecio_vulgaris,0.973,,0.456,,8,0.402,,0.127,8,,0.835,,0.118,8,,1.236,,0.331,8,
256,44,89,matricaria_matricarioides,solanum_americanum,matricaria_matricarioides_solanum_americanum,0.973,,0.456,,8,0.359,,0.058,8,,2.623,,0.468,8,,4.496,,0.714,8,
257,44,89,matricaria_matricarioides,sonchus_asper,matricaria_matricarioides_sonchus_asper,0.973,,0.456,,8,0.73,,0.147,8,,2.209,,0.393,8,,3.427,,0.605,8,
258,44,89,matricaria_matricarioides,tripleurospermum_inodorum,matricaria_matricarioides_tripleurospermum_inodorum,0.973,,0.456,,8,0.405,,0.077,8,,0.591,,0.269,8,,0.723,,0.298,8,
259,44,89,matricaria_matricarioides,viola_arvensis,matricaria_matricarioides_viola_arvensis,0.973,,0.456,,8,0.517,,0.151,8,,0.943,,0.261,8,,0.417,,0.067,8,
260,44,89,papaver_dubium,senecio_vulgaris,papaver_dubium_senecio_vulgaris,0.336,,0.134,,8,0.178,,0.063,8,,0.835,,0.118,8,,0.906,,0.122,8,
261,44,89,papaver_dubium,solanum_americanum,papaver_dubium_solanum_americanum,0.336,,0.134,,8,0.15,,0.071,8,,2.623,,0.468,8,,3.407,,0.468,8,
262,44,89,papaver_dubium,sonchus_asper,papaver_dubium_sonchus_asper,0.336,,0.134,,8,0.087,,0.036,8,,2.209,,0.393,8,,1.595,,0.442,8,
263,44,89,papaver_dubium,tripleurospermum_inodorum,papaver_dubium_tripleurospermum_inodorum,0.336,,0.134,,8,0.47,,0.154,8,,0.591,,0.269,8,,1.07,,0.38,8,
264,44,89,papaver_dubium,viola_arvensis,papaver_dubium_viola_arvensis,0.336,,0.134,,8,0.435,,0.206,8,,0.943,,0.261,8,,0.716,,0.189,8,
265,44,89,senecio_vulgaris,solanum_americanum,senecio_vulgaris_solanum_americanum,0.835,,0.118,,8,0.803,,0.228,8,,2.623,,0.468,8,,4.93,,0.351,8,
266,44,89,senecio_vulgaris,sonchus_asper,senecio_vulgaris_sonchus_asper,0.835,,0.118,,8,0.583,,0.15,8,,2.209,,0.393,8,,2.724,,0.45,8,
267,44,89,senecio_vulgaris,tripleurospermum_inodorum,senecio_vulgaris_tripleurospermum_inodorum,0.835,,0.118,,8,0.949,,0.146,8,,0.591,,0.269,8,,0.335,,0.157,8,
268,44,89,senecio_vulgaris,viola_arvensis,senecio_vulgaris_viola_arvensis,0.835,,0.118,,8,1.079,,0.201,8,,0.943,,0.261,8,,0.859,,0.253,8,
